G I {'rel_weight': 0.9605634031531843, 'rel_center': 0.9959095867592219, 'rel_inertia': 0.9961881736477839}
G İ {'rel_weight': 0.9707584694991532, 'rel_center': 0.9944321089771876, 'rel_inertia': 0.9961173461979267}
G J {'rel_weight': 0.9717283664615364, 'rel_center': 0.9932991392408532, 'rel_inertia': 0.996701931632594}
G K {'rel_weight': 0.968990862303155, 'rel_center': 0.9971340921711531, 'rel_inertia': 0.9990416275092904}
G L {'rel_weight': 0.9758755120937949, 'rel_center': 0.9948819130658442, 'rel_inertia': 0.9978457146201531}
G M {'rel_weight': 0.9409586104420955, 'rel_center': 0.984410291286143, 'rel_inertia': 0.9953214470132988}
G N {'rel_weight': 0.9937405682112528, 'rel_center': 0.9929109188111067, 'rel_inertia': 0.9984677731572326}
G O {'rel_weight': 0.9745398992344901, 'rel_center': 0.9934474682555786, 'rel_inertia': 0.9985092599714538}
G Ö {'rel_weight': 0.958202152126762, 'rel_center': 0.9851745103178536, 'rel_inertia': 0.9953706781378652}
G P {'rel_weight': 0.9969763451460997, 'rel_center': 0.9921390344216606, 'rel_inertia': 0.9975125790064061}
G R {'rel_weight': 0.9598576659073813, 'rel_center': 0.9937540177348526, 'rel_inertia': 0.9983445909818831}
G S {'rel_weight': 0.9815527537960198, 'rel_center': 0.9959663339600788, 'rel_inertia': 0.9973709650505378}
G Ş {'rel_weight': 0.9916502730337031, 'rel_center': 0.9949795758384897, 'rel_inertia': 0.9974466931870736}
G T {'rel_weight': 0.9788632406675726, 'rel_center': 0.993386065915521, 'rel_inertia': 0.996935530257228}
G U {'rel_weight': 0.9844067034784343, 'rel_center': 0.9968878359523697, 'rel_inertia': 0.9985292248055081}
G Ü {'rel_weight': 0.9992639105945477, 'rel_center': 0.9891895573344011, 'rel_inertia': 0.9959440223932784}
G V {'rel_weight': 0.9702930304396189, 'rel_center': 0.9952914365307074, 'rel_inertia': 0.9975681929878053}
G Y {'rel_weight': 0.9790416125227235, 'rel_center': 0.9964655379697093, 'rel_inertia': 0.9973686164090828}
G Z {'rel_weight': 0.998141336325054, 'rel_center': 0.9961877722633887, 'rel_inertia': 0.9978123620703828}
Ğ A {'rel_weight': 0.9612472948848765, 'rel_center': 0.9847572271516991, 'rel_inertia': 0.9945018942911213}
Ğ B {'rel_weight': 0.9785020369174318, 'rel_center': 0.9949644370860019, 'rel_inertia': 0.9980016951139673}
Ğ C {'rel_weight': 0.9647840743252906, 'rel_center': 0.9921279007528864, 'rel_inertia': 0.9967539818380498}
Ğ Ç {'rel_weight': 0.9748871676834473, 'rel_center': 0.9893946838642675, 'rel_inertia': 0.9974887011053509}
Ğ D {'rel_weight': 0.981160892383275, 'rel_center': 0.9966281884274298, 'rel_inertia': 0.9981904969173561}
Ğ E {'rel_weight': 0.9861664004615053, 'rel_center': 0.9943675708069026, 'rel_inertia': 0.9969693282499512}
Ğ F {'rel_weight': 0.9717600860978329, 'rel_center': 0.9966102285361775, 'rel_inertia': 0.9962800106114851}
Ğ G {'rel_weight': 0.9909740793698696, 'rel_center': 0.9928201438461047, 'rel_inertia': 0.9972042601063316}
Ğ Ğ {'rel_weight': 0.9943687708451522, 'rel_center': 0.9991500248180993, 'rel_inertia': 0.9994529826814852}
Ğ H {'rel_weight': 0.9672367394405574, 'rel_center': 0.9959018484520512, 'rel_inertia': 0.9986955267579332}
Ğ I {'rel_weight': 0.9458487870769272, 'rel_center': 0.9902712502500616, 'rel_inertia': 0.9944471943099172}
